t_unix,t_ros_ns,run_folder,run_id,goal_id,v_pred_lin,w_pred_ang,v_cmd_lin,w_cmd_ang,x,y,yaw,dist_to_goal
1769162799.714713,1769162799714721302,Sr02_gB_IMG1_LID1_STA1_CFC64_OH0,0123_1106,B,0.02681342326104641,0.031298864632844925,0.0,0.0,-1.3316398212850578e-13,-1.596654366491742e-24,-7.060619184705894e-12,28.470871634356364
1769162799.8410704,1769162799841078045,Sr02_gB_IMG1_LID1_STA1_CFC64_OH0,0123_1106,B,0.02681342326104641,0.031298864632844925,0.0,0.0,-1.3316398212850578e-13,-1.596654366491742e-24,-7.060619184705894e-12,28.470871634356364
1769162799.9669728,1769162799966980917,Sr02_gB_IMG1_LID1_STA1_CFC64_OH0,0123_1106,B,0.014720479026436806,0.019402403384447098,0.0,0.0,-1.332780156389626e-13,-1.5958492192902124e-24,-7.060619380202224e-12,28.470871634356364
1769162800.0903423,1769162800090349977,Sr02_gB_IMG1_LID1_STA1_CFC64_OH0,0123_1106,B,-0.11314767599105835,-0.014562917873263359,0.0,0.0,-1.3339194558383065e-13,-1.5950448033099068e-24,-7.060619496651291e-12,28.470871634356364
1769162800.2154968,1769162800215506125,Sr02_gB_IMG1_LID1_STA1_CFC64_OH0,0123_1106,B,-0.3597628176212311,0.0074158175848424435,-0.5,0.0,-1.3346796767287632e-13,-1.5945080402642927e-24,-7.060619620956192e-12,28.470871634356364
1769162800.3396244,1769162800339632178,Sr02_gB_IMG1_LID1_STA1_CFC64_OH0,0123_1106,B,0.012900101952254772,0.02281421609222889,0.0,0.0,-1.3358204047554394e-13,-1.593702615585683e-24,-7.06061972171269e-12,28.470871634356364
1769162800.459515,1769162800459522363,Sr02_gB_IMG1_LID1_STA1_CFC64_OH0,0123_1106,B,0.0027091726660728455,0.011582300066947937,0.0,0.0,-1.3365792939870756e-13,-1.5931667927548497e-24,-7.060619791261178e-12,28.470871634356364
1769162800.5884502,1769162800588457150,Sr02_gB_IMG1_LID1_STA1_CFC64_OH0,0123_1106,B,-0.07862682640552521,-0.008133367635309696,0.0,0.0,-1.3373398335747268e-13,-1.5926298046604557e-24,-7.0606199185516055e-12,28.470871634356364
1769162800.7134416,1769162800713450382,Sr02_gB_IMG1_LID1_STA1_CFC64_OH0,0123_1106,B,-0.016132902354002,-0.0005921493284404278,0.0,0.0,-1.3384811340549287e-13,-1.5918239757666294e-24,-7.060620065805633e-12,28.470871634356364
1769162800.8377712,1769162800837778364,Sr02_gB_IMG1_LID1_STA1_CFC64_OH0,0123_1106,B,-0.041530583053827286,-0.005732865072786808,0.0,0.0,-1.339240820616485e-13,-1.5912875899426566e-24,-7.0606202928104745e-12,28.470871634356364
1769162800.9602633,1769162800960270226,Sr02_gB_IMG1_LID1_STA1_CFC64_OH0,0123_1106,B,-0.026755444705486298,-0.003407730022445321,0.0,0.0,-1.3403822609734797e-13,-1.5904816622314393e-24,-7.06062055966712e-12,28.470871634356364
1769162801.0812285,1769162801081237274,Sr02_gB_IMG1_LID1_STA1_CFC64_OH0,0123_1106,B,-0.026755444705486298,-0.003407730022445321,0.0,0.0,-1.3411430856645638e-13,-1.5899444727774552e-24,-7.060620756356734e-12,28.470871634356364
1769162801.2057226,1769162801205729254,Sr02_gB_IMG1_LID1_STA1_CFC64_OH0,0123_1106,B,0.04268840700387955,0.013412676751613617,0.0,0.0,-1.3422819970267764e-13,-1.5891403306587787e-24,-7.0606208241436725e-12,28.470871634356364
1769162801.329844,1769162801329875394,Sr02_gB_IMG1_LID1_STA1_CFC64_OH0,0123_1106,B,-0.12980195879936218,-0.002799614332616329,0.0,0.0,-1.3430437939395145e-13,-1.5886024547369572e-24,-7.060621014813361e-12,28.470871634356364
1769162801.4535835,1769162801453589923,Sr02_gB_IMG1_LID1_STA1_CFC64_OH0,0123_1106,B,-0.016296833753585815,-0.006679669953882694,0.0,0.0,-1.3441841748501178e-13,-1.58779727497598e-24,-7.060621328771467e-12,28.470871634356364
1769162801.5782807,1769162801578288000,Sr02_gB_IMG1_LID1_STA1_CFC64_OH0,0123_1106,B,-0.016296833753585815,-0.006679669953882694,0.0,0.0,-1.344944773453089e-13,-1.587260245097428e-24,-7.060621484131774e-12,28.470871634356364
1769162801.7022529,1769162801702260765,Sr02_gB_IMG1_LID1_STA1_CFC64_OH0,0123_1106,B,-0.06372100114822388,-0.002999109448865056,0.0,0.0,-1.3460847930278433e-13,-1.5864553204146159e-24,-7.060621603771592e-12,28.470871634356364
1769162801.8284388,1769162801828446557,Sr02_gB_IMG1_LID1_STA1_CFC64_OH0,0123_1106,B,-0.0418231375515461,-0.005622436758130789,0.0,0.0,-1.3468440505327221e-13,-1.5859192374194152e-24,-7.060621655367587e-12,28.470871634356364
1769162801.9570975,1769162801957103361,Sr02_gB_IMG1_LID1_STA1_CFC64_OH0,0123_1106,B,-0.0692102313041687,-0.0002734004519879818,0.0,0.0,-1.3479823579507482e-13,-1.5851155216119613e-24,-7.0606217340770346e-12,28.470871634356364
1769162802.0838432,1769162802083851138,Sr02_gB_IMG1_LID1_STA1_CFC64_OH0,0123_1106,B,-0.0692102313041687,-0.0002734004519879818,0.0,0.0,-1.3487414929060607e-13,-1.5845795251372698e-24,-7.060621698820687e-12,28.470871634356364
1769162802.211619,1769162802211626386,Sr02_gB_IMG1_LID1_STA1_CFC64_OH0,0123_1106,B,-0.0029302928596735,0.0018212832510471344,0.0,0.0,-1.3498831921877528e-13,-1.5837734144619068e-24,-7.06062164751441e-12,28.470871634356364
1769162802.3380535,1769162802338064972,Sr02_gB_IMG1_LID1_STA1_CFC64_OH0,0123_1106,B,-0.08139707148075104,-0.004146224353462458,0.0,0.0,-1.3506421168321442e-13,-1.5832375664804061e-24,-7.0606218086017766e-12,28.470871634356364
1769162802.4585655,1769162802458571965,Sr02_gB_IMG1_LID1_STA1_CFC64_OH0,0123_1106,B,-0.02681276574730873,-0.02303224429488182,0.0,0.0,-1.3517837898211371e-13,-1.5824314743506267e-24,-7.060621955421181e-12,28.470871634356364
1769162802.5846722,1769162802584681393,Sr02_gB_IMG1_LID1_STA1_CFC64_OH0,0123_1106,B,-0.0763712078332901,0.010190101340413094,0.0,0.0,-1.3525459230417834e-13,-1.581893360892385e-24,-7.060621875606667e-12,28.470871634356364
1769162802.701305,1769162802701312585,Sr02_gB_IMG1_LID1_STA1_CFC64_OH0,0123_1106,B,-0.0763712078332901,0.010190101340413094,0.0,0.0,-1.3536853670603255e-13,-1.5810888425295493e-24,-7.060622343891194e-12,28.470871634356364
