loss,mae,val_loss,val_mae,lr
0.01790212281048298,0.0704604983329773,0.011257891543209553,0.05656035989522934,1e-04
0.008771168068051338,0.04989205673336983,0.0070738410577178,0.04544704779982567,1e-04
0.005636344663798809,0.039589688181877136,0.004686375614255667,0.03592856600880623,1e-04
0.0037014810368418694,0.031726159155368805,0.0031549716368317604,0.02953045628964901,1e-04
0.0025210073217749596,0.025990935042500496,0.0020637311972677708,0.02281956933438778,1e-04
0.0018341068644076586,0.02200915478169918,0.0016705697635188699,0.021298712119460106,1e-04
0.0014132957439869642,0.01898692548274994,0.0012870903592556715,0.01797693781554699,1e-04
0.001152085023932159,0.0167954433709383,0.0012412996729835868,0.01782861165702343,1e-04
0.0009955291170626879,0.01557227224111557,0.0009194657322950661,0.014683193527162075,1e-04
0.0008505939040333033,0.014311252161860466,0.0007853613933548331,0.013072378933429718,1e-04
0.0007176270592026412,0.012939682230353355,0.0008466831059195101,0.01497582346200943,1e-04
0.0006655576289631426,0.012578369118273258,0.0005770241841673851,0.011462346650660038,1e-04
0.0005716400337405503,0.011704321950674057,0.0005055447691120207,0.010530737228691578,1e-04
0.0004869396216236055,0.010891865007579327,0.000411562854424119,0.009531287476420403,1e-04
0.0004305472248233855,0.010315647348761559,0.00040013130637817085,0.00978118646889925,1e-04
0.0003804043517448008,0.009668460115790367,0.00035186868626624346,0.009014364331960678,1e-04
0.00032237620325759053,0.00865879561752081,0.00039458475657738745,0.00935091357678175,1e-04
0.0003085175121668726,0.008352064527571201,0.0002923492284025997,0.007671956904232502,1e-04
0.0002744415542110801,0.0076828342862427235,0.00028202461544424295,0.0074885329231619835,1e-04
0.0002449020685162395,0.007182070054113865,0.0002321424981346354,0.006893230602145195,1e-04
0.00024819714599289,0.007157003507018089,0.0002136125258402899,0.0061370753683149815,1e-04
0.0002052253985311836,0.00628367206081748,0.00025040601030923426,0.00689686881378293,1e-04
0.0002129855565726757,0.006391407456248999,0.00018111156532540917,0.005503102205693722,1e-04
0.0001950074511114508,0.006067648530006409,0.00019215920474380255,0.005725892726331949,1e-04
0.00017319843755103648,0.005626717582345009,0.00021376152290031314,0.006187522318214178,1e-04
0.00011244541383348405,0.004183012992143631,0.0001414136349922046,0.00447438657283783,5e-05
0.00011421665112720802,0.004283716902136803,0.00014338083565235138,0.0044139898382127285,5e-05
0.00011117348913103342,0.004205923993140459,0.00013013152056373656,0.004326221067458391,5e-05
0.00011291499686194584,0.0042400965467095375,0.0001259955606656149,0.004193266853690147,5e-05
0.00010091260628541932,0.003979967907071114,0.00014531600754708052,0.0045744068920612335,5e-05
0.00010358727013226599,0.004003042820841074,0.00011210847878828645,0.003669713158160448,5e-05
9.56627627601847e-05,0.003793948097154498,0.00011736518354155123,0.00396708445623517,5e-05
9.337575465906411e-05,0.0037241249810904264,0.00011008646833943203,0.0036960674915462732,5e-05
7.456094317603856e-05,0.003098501591011882,9.434459207113832e-05,0.0030600400641560555,2.5e-05
7.304400787688792e-05,0.0030680731870234013,9.406913159182295e-05,0.0030850095208734274,2.5e-05
7.377799920504913e-05,0.003095101797953248,9.568545647198334e-05,0.0032292341347783804,2.5e-05
6.624347588513047e-05,0.002811368787661195,8.6223692051135e-05,0.002779691945761442,1.25e-05
6.567176023963839e-05,0.0027857241220772266,8.700865146238357e-05,0.0028298688121140003,1.25e-05
6.465621845563874e-05,0.002749623032286763,8.538776455679908e-05,0.0027922773733735085,1.25e-05
6.151862180558965e-05,0.0026285673957318068,8.37806292111054e-05,0.002668202854692936,6.25e-06
6.128798122517765e-05,0.002611012663692236,8.293760765809566e-05,0.0026565466541796923,6.25e-06
6.0741276683984324e-05,0.002594977617263794,8.216481364797801e-05,0.002617008751258254,6.25e-06
5.911223706789315e-05,0.002530529862269759,8.090740448096767e-05,0.002526417840272188,3.125e-06
5.8921188610838726e-05,0.0025247966405004263,8.039566455408931e-05,0.0025092826690524817,3.125e-06
5.8663856179919094e-05,0.0025160338263958693,8.079996041487902e-05,0.002508803503587842,3.125e-06
5.806397894048132e-05,0.0024844773579388857,7.980158261489123e-05,0.002482618670910597,1.5625e-06
5.7678520533954725e-05,0.0024784551933407784,7.981390808708966e-05,0.0024463506415486336,1.5625e-06
5.7382669183425605e-05,0.0024649878032505512,7.943054515635595e-05,0.002428361214697361,1e-06
5.745941962231882e-05,0.002459044801071286,7.937392365420237e-05,0.0024453105870634317,1e-06
5.733491343562491e-05,0.0024594285059720278,7.912502042017877e-05,0.0024417927488684654,1e-06
