t_unix,t_ros_ns,run_folder,run_id,goal_id,v_pred_lin,w_pred_ang,v_cmd_lin,w_cmd_ang,x,y,yaw,dist_to_goal
1773700035.1710277,1773700035171035050,Sr02_gA_IMG1_LID1_STA1_GRU64_OH0,0316_2327,A,-0.05002470687031746,-0.005257247015833855,0.0,0.0,-1.2011130783777311e-14,-2.4520590519402282e-24,-7.06046064975547e-12,33.803352159512215
1773700035.1908681,1773700035190877371,Sr02_gA_IMG1_LID1_STA1_GRU64_OH0,0316_2327,A,-0.05002470687031746,-0.005257247015833855,0.0,0.0,-1.2011130783777311e-14,-2.4520590519402282e-24,-7.06046064975547e-12,33.803352159512215
1773700035.2115264,1773700035211533809,Sr02_gA_IMG1_LID1_STA1_GRU64_OH0,0316_2327,A,-0.04304344579577446,0.007273248862475157,0.0,0.0,-1.2049228242664718e-14,-2.4517900663297958e-24,-7.06046065179077e-12,33.803352159512215
1773700035.299954,1773700035299962910,Sr02_gA_IMG1_LID1_STA1_GRU64_OH0,0316_2327,A,-0.08435306698083878,0.00507714319974184,0.0,0.0,-5.421859347013175e-10,1.836723998961405e-13,-0.00022254054490358872,33.803352158983046
1773700035.3980033,1773700035398015501,Sr02_gA_IMG1_LID1_STA1_GRU64_OH0,0316_2327,A,-0.08427819609642029,0.005184249486774206,0.0,0.0,-5.439486787600184e-10,1.8386271394480775e-13,0.0003730067004370426,33.803352158981326
1773700035.4972954,1773700035497302789,Sr02_gA_IMG1_LID1_STA1_GRU64_OH0,0316_2327,A,-0.0925544798374176,0.011231712065637112,0.0,0.0,-5.440342549481136e-10,1.8380871343575177e-13,0.000887135219588525,33.80335215898124
1773700035.5991454,1773700035599154300,Sr02_gA_IMG1_LID1_STA1_GRU64_OH0,0316_2327,A,-0.06361158937215805,0.008073847740888596,0.0,0.0,-5.43503429256907e-10,1.8439849985507065e-13,0.001768390537255919,33.80335215898177
1773700035.6976976,1773700035697706350,Sr02_gA_IMG1_LID1_STA1_GRU64_OH0,0316_2327,A,-0.06354381889104843,0.008108580484986305,0.0,0.0,-5.442892658120338e-10,1.8262487641771706e-13,0.002702079399779443,33.80335215898099
1773700035.7986033,1773700035798611773,Sr02_gA_IMG1_LID1_STA1_GRU64_OH0,0316_2327,A,-0.11297976970672607,-0.0036768093705177307,0.0,0.0,-5.445317154970825e-10,1.818716285056966e-13,0.003511535461889878,33.80335215898076
1773700035.8997822,1773700035899789824,Sr02_gA_IMG1_LID1_STA1_GRU64_OH0,0316_2327,A,-0.11297804117202759,-0.003718721214681864,0.0,0.0,-5.462244994182864e-10,1.75457028245914e-13,0.0036152811148801476,33.80335215897911
