t_ros_ns,mission_status,state_prev,state_now,event,reason,dR,dFR,dF,dFL,dL,v_in,w_in,v_out,w_out
1769091373774685742,RUNNING,STARTUP_ALLOW_POLICY,NAVIGATE,STATE_CHANGE,,999.0,4.790363788604736,4.937942028045654,3.42683744430542,3.4056270122528076,0.5,-0.37110692262649536,0.5,-0.37110692262649536
1769091448075623781,RUNNING,NAVIGATE,SLOW,STATE_CHANGE,"warn zone: front=F:0.57m (viol=['F', 'FL']) side=L:0.89m (viol=[])",1.8198686838150024,0.7724421620368958,0.5669058561325073,0.5993198752403259,0.8850455284118652,0.5,-0.06320376694202423,0.175,-0.022121318429708478
1769091449775762963,RUNNING,SLOW,STOP_EMERGENCY,STATE_CHANGE,min(d*) <= D_STOP,0.7515560984611511,0.31027910113334656,0.23581625521183014,0.250474750995636,0.36535269021987915,0.5,-0.028012540191411972,0.0,0.0
