loss,mae,val_loss,val_mae,lr
0.012746039777994156,0.05767165869474411,0.005305678583681583,0.04083094000816345,0.001
0.003136896528303623,0.02906372956931591,0.0015581484185531735,0.020399052649736404,0.001
0.0009399880655109882,0.01672111451625824,0.000659904966596514,0.01273941621184349,0.001
0.0005477438680827618,0.012564671225845814,0.0004553836479317397,0.010211591608822346,0.001
0.0003199213824700564,0.009258109144866467,0.0003337948292028159,0.00938643328845501,0.001
0.00026026953128166497,0.008388379588723183,0.0002666285145096481,0.007957711815834045,0.001
0.0002009550080401823,0.007178481202572584,0.00020204261818435043,0.006092621944844723,0.001
0.0001812040718505159,0.006640002131462097,0.00018852703215088695,0.00668555311858654,0.001
0.00019764091121032834,0.0066058821976184845,0.0005764800007455051,0.014366884715855122,0.001
0.0001258068805327639,0.005129364784806967,0.00011212167737539858,0.00388469104655087,0.0005
8.225692727137357e-05,0.0037785316817462444,0.00010672302596503869,0.003765622852370143,0.0005
7.883839134592563e-05,0.0037180944345891476,0.00010471329733263701,0.003495944896712899,0.0005
8.081777923507616e-05,0.0037883257027715445,0.00010957912309095263,0.0042367116548120975,0.0005
7.974838808877394e-05,0.0037796462420374155,0.00011342902143951505,0.004095430951565504,0.0005
6.0375648899935186e-05,0.002933741081506014,8.665019413456321e-05,0.0026972275227308273,0.00025
5.937026071478613e-05,0.002846358111128211,8.716639422345906e-05,0.0028047021478414536,0.00025
5.719822001992725e-05,0.002842383924871683,8.68314818944782e-05,0.0027247825637459755,0.00025
5.163909008842893e-05,0.0025013538543134928,8.005506242625415e-05,0.00235914858058095,0.000125
5.126671749167144e-05,0.0024710854049772024,8.48660129122436e-05,0.002554312814027071,0.000125
5.1054375944659114e-05,0.0024929316714406013,8.11797144706361e-05,0.0025055634323507547,0.000125
4.771092426381074e-05,0.002302004024386406,7.677800749661401e-05,0.0023134376388043165,6.25e-05
4.6837998525006697e-05,0.002282001543790102,7.54868087824434e-05,0.002224838361144066,6.25e-05
4.617062950273976e-05,0.0022722026333212852,7.568956061732024e-05,0.0022376449778676033,6.25e-05
4.638289101421833e-05,0.002272397745400667,8.013953629415482e-05,0.00240133423358202,6.25e-05
4.4932377932127565e-05,0.002190861850976944,7.415798609144986e-05,0.002084766048938036,3.125e-05
4.395961877889931e-05,0.0021551777608692646,7.426519732689485e-05,0.0021443061996251345,3.125e-05
4.3920437747146934e-05,0.0021537330467253923,7.329150685109198e-05,0.002095078816637397,3.125e-05
4.2902178392978385e-05,0.00210062344558537,7.268838089657947e-05,0.002025499241426587,1.5625e-05
4.260727655491792e-05,0.0020918184891343117,7.317057315958664e-05,0.002061417093500495,1.5625e-05
4.191419429844245e-05,0.002062766579911113,7.226752495625988e-05,0.002002415247261524,7.8125e-06
4.153170084464364e-05,0.0020548528991639614,7.222250860650092e-05,0.00199424778111279,7.8125e-06
4.1305476770503446e-05,0.0020399754866957664,7.211368210846558e-05,0.001978442305698991,3.90625e-06
4.120581434108317e-05,0.002034904668107629,7.156033825594932e-05,0.0019808209035545588,3.90625e-06
4.093757161172107e-05,0.002040004590526223,7.195886428235099e-05,0.0019705453887581825,3.90625e-06
4.1023100493475795e-05,0.0020211441442370415,7.155274943215773e-05,0.0019714985974133015,1.953125e-06
4.078258643858135e-05,0.0020302024204283953,7.18717637937516e-05,0.0019691484048962593,1.953125e-06
4.1143750422634184e-05,0.0020177983678877354,7.153463957365602e-05,0.001964329509064555,1e-06
4.065784742124379e-05,0.0020155496895313263,7.143537368392572e-05,0.001960557419806719,1e-06
4.071826333529316e-05,0.0020173355005681515,7.14000707375817e-05,0.0019639218226075172,1e-06
4.0585986425867304e-05,0.002021548803895712,7.149890734581277e-05,0.001961813773959875,1e-06
4.087435809196904e-05,0.00201344583183527,7.13117842678912e-05,0.001956003485247493,1e-06
4.0502025512978435e-05,0.0020147655159235,7.141502283047885e-05,0.0019625260028988123,1e-06
4.060720675624907e-05,0.002011647215113044,7.135212945286185e-05,0.001962228212505579,1e-06
4.050843926961534e-05,0.0020130036864429712,7.125613046810031e-05,0.0019662873819470406,1e-06
4.0540617192164063e-05,0.002012415789067745,7.122792885638773e-05,0.0019570686854422092,1e-06
4.0460156014887616e-05,0.0020123575814068317,7.123887917259708e-05,0.0019518757471814752,1e-06
4.0498827729607e-05,0.0020067875739187002,7.104677933966741e-05,0.0019519232446327806,1e-06
4.029491901746951e-05,0.0020069098100066185,7.109944999683648e-05,0.00195056083612144,1e-06
4.031380740343593e-05,0.0020095324143767357,7.11245447746478e-05,0.0019507893593981862,1e-06
4.0459006413584575e-05,0.002005240647122264,7.107757119229063e-05,0.0019497825996950269,1e-06
