t_unix,t_ros_ns,run_folder,run_id,goal_id,v_pred_lin,w_pred_ang,v_cmd_lin,w_cmd_ang,x,y,yaw,dist_to_goal
1767873434.1956306,1767873434195640272,Sr02_gA_IMG1_LID0_STA0_CFC64_OH0,0108_1257,A,-0.008446408435702324,0.00455755740404129,0.0,0.0,-7.330434958142317e-15,-2.4851069078059652e-24,-7.060455159860253e-12,33.80335215951222
1767873434.3112874,1767873434311295232,Sr02_gA_IMG1_LID0_STA0_CFC64_OH0,0108_1257,A,-0.008446408435702324,0.00455755740404129,0.0,0.0,-7.330434958142317e-15,-2.4851069078059652e-24,-7.060455159860253e-12,33.80335215951222
1767873434.4289825,1767873434428991075,Sr02_gA_IMG1_LID0_STA0_CFC64_OH0,0108_1257,A,-0.01686299592256546,0.004707346670329571,0.0,0.0,-7.444503876974619e-15,-2.4843015293019832e-24,-7.0604553888328515e-12,33.80335215951222
1767873434.543649,1767873434543659442,Sr02_gA_IMG1_LID0_STA0_CFC64_OH0,0108_1257,A,-0.0263342447578907,0.0048418352380394936,0.0,0.0,-7.520748764056335e-15,-2.48376320567471e-24,-7.060455438257425e-12,33.80335215951222
1767873434.656829,1767873434656837279,Sr02_gA_IMG1_LID0_STA0_CFC64_OH0,0108_1257,A,0.01042886357754469,-0.0031597204506397247,0.0,0.0,-7.596935254488614e-15,-2.483225294349972e-24,-7.060455565456362e-12,33.80335215951222
1767873434.7716532,1767873434771661348,Sr02_gA_IMG1_LID0_STA0_CFC64_OH0,0108_1257,A,-0.016624532639980316,-0.004639878869056702,0.0,0.0,-7.711248736767158e-15,-2.4824181890757876e-24,-7.060455761329355e-12,33.80335215951222
1767873434.8859892,1767873434885997069,Sr02_gA_IMG1_LID0_STA0_CFC64_OH0,0108_1257,A,-0.02813395857810974,0.012378601357340813,0.0,0.0,5.274322392085031e-13,1.1611454567884567e-17,0.00045574027753860597,33.80335215951274
1767873435.004754,1767873435004761861,Sr02_gA_IMG1_LID0_STA0_CFC64_OH0,0108_1257,A,-0.16911563277244568,-0.0016932408325374126,0.0,0.0,4.492876276290529e-13,-4.182192615942539e-17,0.0009114840301068083,33.80335215951266
1767873435.1203234,1767873435120331971,Sr02_gA_IMG1_LID0_STA0_CFC64_OH0,0108_1257,A,-0.1422676146030426,0.009641595184803009,0.0,0.0,3.460104666319125e-13,-1.7577715903097227e-16,0.0016130742232307173,33.80335215951256
1767873435.2328475,1767873435232855829,Sr02_gA_IMG1_LID0_STA0_CFC64_OH0,0108_1257,A,-0.1422676146030426,0.009641595184803009,0.0,0.0,2.761096674646543e-13,-3.0893067760638573e-16,0.0020972456035461494,33.8033521595125
1767873435.3438718,1767873435343880882,Sr02_gA_IMG1_LID0_STA0_CFC64_OH0,0108_1257,A,-0.10907180607318878,0.004655417986214161,0.0,0.0,-8.189854323029456e-13,-2.618975994906576e-15,0.0018613045528725364,33.80335215951143
1767873435.4544559,1767873435454463995,Sr02_gA_IMG1_LID0_STA0_CFC64_OH0,0108_1257,A,-0.17678073048591614,0.020283913239836693,0.0,0.0,-1.0793465766683317e-12,-3.066154943306528e-15,0.0014269329084206576,33.80335215951117
1767873435.5646691,1767873435564679849,Sr02_gA_IMG1_LID0_STA0_CFC64_OH0,0108_1257,A,-0.3667193055152893,0.03420520946383476,-0.5,0.0,8.849307716964936e-13,-4.528798040670548e-16,0.001984037619398984,33.803352159513096
1767873435.6782312,1767873435678238902,Sr02_gA_IMG1_LID0_STA0_CFC64_OH0,0108_1257,A,-0.3667193055152893,0.03420520946383476,-0.5,0.0,-1.3841163172766185e-12,-6.478228018089e-15,0.0025743749602656785,33.80335215951087
1767873435.7890418,1767873435789049732,Sr02_gA_IMG1_LID0_STA0_CFC64_OH0,0108_1257,A,-0.2900221347808838,0.008720681071281433,-0.5,0.0,-1.0949891504495284e-13,-3.1895433533259866e-15,0.0033118210706662983,33.80335215951212
1767873435.9051046,1767873435905113129,Sr02_gA_IMG1_LID0_STA0_CFC64_OH0,0108_1257,A,-0.5719324946403503,0.011658638715744019,-0.5,0.0,-4.595144112067151e-13,-4.517515076695022e-15,0.004275967647377314,33.803352159511775
1767873436.0255694,1767873436025581771,Sr02_gA_IMG1_LID0_STA0_CFC64_OH0,0108_1257,A,-0.5719324946403503,0.011658638715744019,-0.5,0.0,-1.3425813466988616e-12,-8.647377114061096e-15,0.004940947946144879,33.803352159510915
1767873436.140115,1767873436140122848,Sr02_gA_IMG1_LID0_STA0_CFC64_OH0,0108_1257,A,-0.4313655197620392,-0.007886916399002075,-0.5,0.0,-6.252967625722024e-13,-6.00843347354208e-15,0.007202077337908224,33.80335215951162
1767873436.2573278,1767873436257336966,Sr02_gA_IMG1_LID0_STA0_CFC64_OH0,0108_1257,A,-0.45042988657951355,0.17518770694732666,-0.5,0.0,-0.008044727652940294,-6.804489298993094e-05,0.008993195627073356,33.7955159089501
1767873436.3723369,1767873436372345201,Sr02_gA_IMG1_LID0_STA0_CFC64_OH0,0108_1257,A,-0.45042988657951355,0.17518770694732666,-0.5,0.0,-0.052600442296812114,-0.0005203633544166624,0.010897782789417377,33.752133102002546
1767873436.4908812,1767873436490889799,Sr02_gA_IMG1_LID0_STA0_CFC64_OH0,0108_1257,A,-0.46161553263664246,0.14799126982688904,-0.5,0.0,-0.10105355380194175,-0.0010713365917251211,0.01180138557558403,33.7049718999684
1767873436.6051815,1767873436605188641,Sr02_gA_IMG1_LID0_STA0_CFC64_OH0,0108_1257,A,-0.4226638078689575,0.039103709161281586,-0.5,0.0,-0.1510497135687687,-0.001690536401777467,0.012967244757882976,33.65632375094315
1767873436.719424,1767873436719432510,Sr02_gA_IMG1_LID0_STA0_CFC64_OH0,0108_1257,A,-0.4226638078689575,0.039103709161281586,-0.5,0.0,-0.2010451174569799,-0.002368024361090203,0.0141331061632393,33.607693095699695
1767873436.8365862,1767873436836594952,Sr02_gA_IMG1_LID0_STA0_CFC64_OH0,0108_1257,A,-0.520438015460968,-0.2938465476036072,-0.5,-0.5,-0.2760375286956468,-0.003434426561711116,0.013731906547141036,33.53476637461426
1767873436.9478908,1767873436947898999,Sr02_gA_IMG1_LID0_STA0_CFC64_OH0,0108_1257,A,-0.4084301292896271,-0.13754859566688538,-0.5,0.0,-0.3258006043545251,-0.004298676795052308,0.024462245465806026,33.48641358775641
1767873437.0602207,1767873437060228141,Sr02_gA_IMG1_LID0_STA0_CFC64_OH0,0108_1257,A,0.10109230875968933,-0.012071860954165459,0.0,0.0,-0.3757723729017048,-0.005959430504183413,0.04198097836733608,33.438037124177114
1767873437.1711726,1767873437171183283,Sr02_gA_IMG1_LID0_STA0_CFC64_OH0,0108_1257,A,0.10109230875968933,-0.012071860954165459,0.0,0.0,-0.45066131126437725,-0.010009105431981228,0.06526749764686998,33.36589315556831
1767873437.2824583,1767873437282466902,Sr02_gA_IMG1_LID0_STA0_CFC64_OH0,0108_1257,A,0.34500351548194885,-0.10929428040981293,0.5,0.0,-0.5004919497313116,-0.013413430471081704,0.07027176598315353,33.318053275389175
1767873437.393497,1767873437393505040,Sr02_gA_IMG1_LID0_STA0_CFC64_OH0,0108_1257,A,0.34500351548194885,-0.10929428040981293,0.5,0.0,-0.5503615531908034,-0.017021636222928672,0.07418212862923917,33.270226869584725
1767873437.5130572,1767873437513068681,Sr02_gA_IMG1_LID0_STA0_CFC64_OH0,0108_1257,A,-0.20857974886894226,-0.3659156560897827,-0.5,-0.5,-0.5999475707478831,-0.02069706291098136,0.0698971591475268,33.22269829782756
1767873437.6270013,1767873437627010283,Sr02_gA_IMG1_LID0_STA0_CFC64_OH0,0108_1257,A,-0.46228915452957153,-0.4673961400985718,-0.5,-0.5,-0.6742597189227172,-0.024907234053450484,0.04561365115510908,33.15119198131728
1767873437.7416599,1767873437741668019,Sr02_gA_IMG1_LID0_STA0_CFC64_OH0,0108_1257,A,-0.42969971895217896,-0.565294086933136,-0.5,-0.5,-0.7152991415560436,-0.026539939160300532,0.0335259486740116,33.11155292705751
1767873437.8551273,1767873437855135600,Sr02_gA_IMG1_LID0_STA0_CFC64_OH0,0108_1257,A,-0.42969971895217896,-0.565294086933136,-0.5,-0.5,-0.7371195787041418,-0.027181035101410192,0.024273520004544556,33.090427727345364
1767873437.966308,1767873437966315675,Sr02_gA_IMG1_LID0_STA0_CFC64_OH0,0108_1257,A,-0.476980060338974,-0.5913943648338318,-0.5,-0.5,-0.739944283866644,-0.027249822802284697,0.01724646191295947,33.087689913215776
1767873438.083071,1767873438083079097,Sr02_gA_IMG1_LID0_STA0_CFC64_OH0,0108_1257,A,-0.4969549775123596,-0.5943326354026794,-0.5,-0.5,-0.7113029212335147,-0.026895646309783198,0.009643165196903149,33.11552761101913
1767873438.194458,1767873438194465849,Sr02_gA_IMG1_LID0_STA0_CFC64_OH0,0108_1257,A,-0.4969549775123596,-0.5943326354026794,-0.5,-0.5,-0.6875562252743486,-0.026707274241442567,0.005839595091090195,33.138632527721725
1767873438.3107927,1767873438310800806,Sr02_gA_IMG1_LID0_STA0_CFC64_OH0,0108_1257,A,-0.41232946515083313,-0.4132554829120636,-0.5,-0.5,-0.6829941166852485,-0.02668314870615393,0.0028315667629501304,33.143074137270936
1767873438.4222398,1767873438422249916,Sr02_gA_IMG1_LID0_STA0_CFC64_OH0,0108_1257,A,-0.3910180628299713,-0.4223705232143402,-0.5,-0.5,-0.7092698943310491,-0.026701369840992337,-0.00044862591747317027,33.11746586208917
1767873438.5323,1767873438532308193,Sr02_gA_IMG1_LID0_STA0_CFC64_OH0,0108_1257,A,-0.3910180628299713,-0.4223705232143402,-0.5,-0.5,-0.7448712327753254,-0.026603185157149684,-0.00733530493641493,33.08274312409464
1767873438.6516583,1767873438651665527,Sr02_gA_IMG1_LID0_STA0_CFC64_OH0,0108_1257,A,-0.4387442171573639,-0.28902798891067505,-0.5,-0.5,-0.7847646566286224,-0.025896273343011398,-0.030176409617884762,33.04370282448259
1767873438.7645235,1767873438764533882,Sr02_gA_IMG1_LID0_STA0_CFC64_OH0,0108_1257,A,-0.5110225677490234,-0.44329527020454407,-0.5,-0.5,-0.828487962398169,-0.023802797619928533,-0.06731240249529966,33.0006213826141
1767873438.8771045,1767873438877112093,Sr02_gA_IMG1_LID0_STA0_CFC64_OH0,0108_1257,A,-0.5110225677490234,-0.44329527020454407,-0.5,-0.5,-0.9007203035254432,-0.016099151891224506,-0.1481196331735697,32.92850079949491
1767873438.990128,1767873438990136612,Sr02_gA_IMG1_LID0_STA0_CFC64_OH0,0108_1257,A,-0.42646732926368713,-0.42521607875823975,-0.5,-0.5,-0.9499503538840464,-0.0076486772543774935,-0.1907858266812007,32.878629919261066
1767873439.1054516,1767873439105459848,Sr02_gA_IMG1_LID0_STA0_CFC64_OH0,0108_1257,A,-0.49301856756210327,-0.5153865218162537,-0.5,-0.5,-0.9988300673583899,0.002858624390946681,-0.2328405043663701,32.82863896667669
1767873439.2175467,1767873439217554260,Sr02_gA_IMG1_LID0_STA0_CFC64_OH0,0108_1257,A,-0.49301856756210327,-0.5153865218162537,-0.5,-0.5,-1.047222735591479,0.015419586549011077,-0.27507748701930773,32.77866173538797
