t_unix,t_ros_ns,run_folder,run_id,goal_id,v_pred_lin,w_pred_ang,v_cmd_lin,w_cmd_ang,x,y,yaw,dist_to_goal
1767866977.2451813,1767866977245194059,Sr02_gA_IMG1_LID0_STA1_CFC64_OH0,0108_1109,A,-0.07329100370407104,-0.00028415187261998653,0.0,0.0,-6.720259357460322e-15,-2.4894150249827913e-24,-7.060454024710761e-12,33.80335215951222
1767866977.3655043,1767866977365513732,Sr02_gA_IMG1_LID0_STA1_CFC64_OH0,0108_1109,A,-0.07329100370407104,-0.00028415187261998653,0.0,0.0,-6.720259357460322e-15,-2.4894150249827913e-24,-7.060454024710761e-12,33.80335215951222
1767866977.4814126,1767866977481420384,Sr02_gA_IMG1_LID0_STA1_CFC64_OH0,0108_1109,A,-0.0413542203605175,0.00681154802441597,0.0,0.0,-6.834786030349982e-15,-2.4886064146559203e-24,-7.060454284018437e-12,33.80335215951222
1767866977.600213,1767866977600220296,Sr02_gA_IMG1_LID0_STA1_CFC64_OH0,0108_1109,A,-0.04545249789953232,-0.0006347452290356159,0.0,0.0,-6.910992406586878e-15,-2.488068363010603e-24,-7.060454509936939e-12,33.80335215951222
1767866977.718823,1767866977718830720,Sr02_gA_IMG1_LID0_STA1_CFC64_OH0,0108_1109,A,-0.05848277732729912,-0.00024351407773792744,0.0,0.0,-7.025530200506284e-15,-2.4872596741114125e-24,-7.0604547304178975e-12,33.80335215951222
1767866977.8336713,1767866977833678068,Sr02_gA_IMG1_LID0_STA1_CFC64_OH0,0108_1109,A,-0.025856126099824905,-0.0022562481462955475,0.0,0.0,-7.101809225501922e-15,-2.4867211095033878e-24,-7.060454857600932e-12,33.80335215951222
1767866977.9540107,1767866977954018139,Sr02_gA_IMG1_LID0_STA1_CFC64_OH0,0108_1109,A,-0.0342399999499321,-0.002802069764584303,0.0,0.0,-4.472021197571703e-14,1.140681188716763e-19,-2.2722991745595867e-05,33.80335215951219
1767866978.0731664,1767866978073174011,Sr02_gA_IMG1_LID0_STA1_CFC64_OH0,0108_1109,A,-0.02478954568505287,0.0015397128881886601,0.0,0.0,-4.5309886243231906e-14,1.4180936917487547e-19,-6.532899327122881e-05,33.80335215951219
1767866978.1948175,1767866978194825823,Sr02_gA_IMG1_LID0_STA1_CFC64_OH0,0108_1109,A,-0.022542662918567657,0.0019469533581286669,0.0,0.0,7.44887029651762e-13,-4.17356519857965e-17,0.0006158079992595586,33.803352159512954
1767866978.3170002,1767866978317008235,Sr02_gA_IMG1_LID0_STA1_CFC64_OH0,0108_1109,A,-0.004938979633152485,-0.006323907058686018,0.0,0.0,-2.5956370304894626e-13,-7.905363057182767e-16,0.0006734519806211837,33.803352159511974
