Group,Total Runs,Successful Runs,Mean Path Length (m),Std Path Length (m),Mean Time to Goal (s),Std Time to Goal (s)
cfc_no_safety,19,19,40.077245490976985,0.889104837553726,81.81251219699257,1.848417193779059
cfc_safety,20,20,40.20806365731333,0.7799138416224962,82.971600151062,2.0804590053899084
gru_no_safety,15,15,40.35578838276917,1.5585147241158037,81.88635093371073,3.192682389888933
gru_safety,15,15,40.91171220640533,1.9976698377814357,86.75272194544475,6.531088310440496
