t_unix,t_ros_ns,run_folder,run_id,goal_id,v_pred_lin,w_pred_ang,v_cmd_lin,w_cmd_ang,x,y,yaw,dist_to_goal
1769071667.5218468,1769071667521855263,Sr02_gA_IMG1_LID1_STA1_CFC64_OH0,0122_0947,A,-0.05325457081198692,0.007724890485405922,0.0,0.0,-3.1807987300737413e-15,-2.514405214363303e-24,-7.060448246756381e-12,33.80335215951223
1769071667.6423857,1769071667642394803,Sr02_gA_IMG1_LID1_STA1_CFC64_OH0,0122_0947,A,-0.05325457081198692,0.007724890485405922,0.0,0.0,-3.1807987300737413e-15,-2.514405214363303e-24,-7.060448246756381e-12,33.80335215951223
1769071667.7636871,1769071667763698875,Sr02_gA_IMG1_LID1_STA1_CFC64_OH0,0122_0947,A,-0.10901780426502228,0.014174290932714939,0.0,0.0,-3.2949421525971126e-15,-2.513599310619669e-24,-7.060448419424584e-12,33.80335215951223
1769071667.88601,1769071667886017683,Sr02_gA_IMG1_LID1_STA1_CFC64_OH0,0122_0947,A,-0.051469285041093826,0.001847023144364357,0.0,0.0,-3.4090409111620163e-15,-2.5127937222153413e-24,-7.0604484854022516e-12,33.80335215951223
1769071668.0034046,1769071668003413922,Sr02_gA_IMG1_LID1_STA1_CFC64_OH0,0122_0947,A,-0.039110589772462845,0.008163606747984886,0.0,0.0,-3.4852580644568287e-15,-2.5122555949242296e-24,-7.0604486541494755e-12,33.80335215951223
1769071668.1256897,1769071668125699798,Sr02_gA_IMG1_LID1_STA1_CFC64_OH0,0122_0947,A,-0.038273125886917114,0.007993362843990326,0.0,0.0,-3.5612121448586375e-15,-2.5117193250361527e-24,-7.060448754403256e-12,33.80335215951222
1769071668.2500682,1769071668250076699,Sr02_gA_IMG1_LID1_STA1_CFC64_OH0,0122_0947,A,-0.10080473124980927,0.009095316752791405,0.0,0.0,7.605313573726966e-13,-6.087383447259416e-17,0.0010042135213483962,33.80335215951297
1769071668.3699863,1769071668369993887,Sr02_gA_IMG1_LID1_STA1_CFC64_OH0,0122_0947,A,-0.3235599994659424,0.01650456339120865,-0.5,0.0,5.356878636113586e-13,-3.7355708753945816e-16,0.0017766899879489747,33.80335215951275
1769071668.488922,1769071668488930392,Sr02_gA_IMG1_LID1_STA1_CFC64_OH0,0122_0947,A,-0.2652158737182617,0.020159613341093063,-0.5,0.0,-9.820101004373595e-13,-6.430269445485475e-15,0.003591777913717468,33.80335215951127
1769071668.609939,1769071668609946992,Sr02_gA_IMG1_LID1_STA1_CFC64_OH0,0122_0947,A,-0.23586590588092804,0.019060760736465454,0.0,0.0,-1.1939175496844662e-12,-7.195914066495511e-15,0.003776469471319458,33.803352159511064
