t_unix,t_ros_ns,run_folder,run_id,goal_id,v_pred_lin,w_pred_ang,v_cmd_lin,w_cmd_ang,x,y,yaw,dist_to_goal
1773751936.6740758,1773751936674084786,Sr02_gB_IMG1_LID1_STA1_CFC64_OH0,0317_1352,B,-0.030280228704214096,-0.003245200263336301,0.0,0.0,-9.50009603445461e-15,-2.4697881099155205e-24,-7.060457602684704e-12,28.470871634356403
1773751936.7954867,1773751936795494409,Sr02_gB_IMG1_LID1_STA1_CFC64_OH0,0317_1352,B,-0.030280228704214096,-0.003245200263336301,0.0,0.0,-9.50009603445461e-15,-2.4697881099155205e-24,-7.060457602684704e-12,28.470871634356403
1773751936.9108522,1773751936910860285,Sr02_gB_IMG1_LID1_STA1_CFC64_OH0,0317_1352,B,-0.02958514541387558,-0.00898557435721159,0.0,0.0,-9.614169912601018e-15,-2.4689826961302815e-24,-7.060457673046983e-12,28.470871634356403
1773751937.0298336,1773751937029841209,Sr02_gB_IMG1_LID1_STA1_CFC64_OH0,0317_1352,B,-0.04068094119429588,-0.00943952240049839,0.0,0.0,-9.690221428186012e-15,-2.4684457376194282e-24,-7.0604577068579835e-12,28.470871634356403
1773751937.1464438,1773751937146451762,Sr02_gB_IMG1_LID1_STA1_CFC64_OH0,0317_1352,B,-0.027741964906454086,-2.6066787540912628e-05,0.0,0.0,-9.804233835966057e-15,-2.4676407578221706e-24,-7.0604579482197704e-12,28.4708716343564
1773751937.2641444,1773751937264151740,Sr02_gB_IMG1_LID1_STA1_CFC64_OH0,0317_1352,B,-0.035312406718730927,-0.0050767287611961365,0.0,0.0,-9.88036954270526e-15,-2.4671032048643288e-24,-7.060457934761819e-12,28.4708716343564
1773751937.39208,1773751937392088230,Sr02_gB_IMG1_LID1_STA1_CFC64_OH0,0317_1352,B,0.03658657521009445,0.004488574806600809,0.0,0.0,-4.649309226005714e-13,1.9460325932401792e-17,-0.0002920549939406991,28.470871634356264
1773751937.5143538,1773751937514361933,Sr02_gB_IMG1_LID1_STA1_CFC64_OH0,0317_1352,B,-0.13859112560749054,-0.011691689491271973,0.0,0.0,-4.380088735998693e-09,2.3457343039166966e-12,-0.0007788147114386712,28.470871633025276
1773751937.6386883,1773751937638695829,Sr02_gB_IMG1_LID1_STA1_CFC64_OH0,0317_1352,B,-0.03335968032479286,-0.007182178553193808,0.0,0.0,-1.1204002892500852e-08,1.0379958793946357e-11,-0.0015625437691188203,28.470871630947283
1773751937.756318,1773751937756324132,Sr02_gB_IMG1_LID1_STA1_CFC64_OH0,0317_1352,B,-0.0944281667470932,-0.012739282101392746,0.0,0.0,-2.3697901848529092e-08,3.8684363521242804e-11,-0.0029693662307001705,28.470871627129732
1773751937.8792975,1773751937879304206,Sr02_gB_IMG1_LID1_STA1_CFC64_OH0,0317_1352,B,-0.40402689576148987,0.0022499095648527145,-0.5,0.0,-2.4875513029122552e-08,4.2252971573189046e-11,-0.0030661025262552818,28.470871626769053
1773751938.0011163,1773751938001124303,Sr02_gB_IMG1_LID1_STA1_CFC64_OH0,0317_1352,B,-0.4038864076137543,0.0022095870226621628,-0.5,0.0,-3.060027987946298e-08,6.176126675858778e-11,-0.0036814346949496173,28.470871625013604
1773751938.116199,1773751938116206996,Sr02_gB_IMG1_LID1_STA1_CFC64_OH0,0317_1352,B,-0.05980478599667549,-0.0006489439401775599,0.0,0.0,-3.061022083176008e-08,6.179755893412945e-11,-0.003232591181673326,28.470871625010556
1773751938.2367346,1773751938236743673,Sr02_gB_IMG1_LID1_STA1_CFC64_OH0,0317_1352,B,-0.3833838999271393,-0.017366480082273483,-0.5,0.0,-3.266359023538247e-08,6.993050013342944e-11,-0.004078132636439191,28.47087162437982
1773751938.3602033,1773751938360211697,Sr02_gB_IMG1_LID1_STA1_CFC64_OH0,0317_1352,B,-0.5207124352455139,-0.013331018388271332,-0.5,0.0,-4.3136525659874144e-08,1.1870752442757288e-10,-0.005245628102996932,28.470871621155915
