t_unix,t_ros_ns,run_folder,run_id,goal_id,v_pred_lin,w_pred_ang,v_cmd_lin,w_cmd_ang,x,y,yaw,dist_to_goal
1773751340.2311306,1773751340231138793,Sr02_gB_IMG1_LID1_STA1_CFC64_OH0,0317_1342,B,-0.053856004029512405,-0.0077108824625611305,0.0,0.0,-9.081565006262331e-15,-2.4727431305128767e-24,-7.060457470106491e-12,28.470871634356403
1773751340.358362,1773751340358370222,Sr02_gB_IMG1_LID1_STA1_CFC64_OH0,0317_1342,B,-0.053856004029512405,-0.0077108824625611305,0.0,0.0,-9.081565006262331e-15,-2.4727431305128767e-24,-7.060457470106491e-12,28.470871634356403
1773751340.4856827,1773751340485690648,Sr02_gB_IMG1_LID1_STA1_CFC64_OH0,0317_1342,B,-0.018936514854431152,-0.003071592189371586,0.0,0.0,-9.42399094233247e-15,-2.47032544669071e-24,-7.0604575251751686e-12,28.470871634356403
1773751340.610462,1773751340610470094,Sr02_gB_IMG1_LID1_STA1_CFC64_OH0,0317_1342,B,-0.03186601772904396,-0.0036726556718349457,0.0,0.0,-9.50009603445461e-15,-2.4697881099155205e-24,-7.060457602684704e-12,28.470871634356403
1773751340.7342522,1773751340734262304,Sr02_gB_IMG1_LID1_STA1_CFC64_OH0,0317_1342,B,-0.030280228704214096,-0.003245200263336301,0.0,0.0,-9.614169912601018e-15,-2.4689826961302815e-24,-7.060457673046983e-12,28.470871634356403
1773751340.8629656,1773751340862973659,Sr02_gB_IMG1_LID1_STA1_CFC64_OH0,0317_1342,B,-0.02958514541387558,-0.00898557435721159,0.0,0.0,-9.690221428186012e-15,-2.4684457376194282e-24,-7.0604577068579835e-12,28.470871634356403
1773751340.992837,1773751340992845867,Sr02_gB_IMG1_LID1_STA1_CFC64_OH0,0317_1342,B,-0.034634001553058624,-0.008930385112762451,0.0,0.0,-6.911082033797816e-09,4.798382718916302e-12,-0.0010794956943244553,28.470871632255047
1773751341.118103,1773751341118111537,Sr02_gB_IMG1_LID1_STA1_CFC64_OH0,0317_1342,B,-0.03083556890487671,-0.003712219186127186,0.0,0.0,-1.3803556192694395e-08,1.4893933886001974e-11,-0.0018505673363792719,28.470871630154292
1773751341.238956,1773751341238965232,Sr02_gB_IMG1_LID1_STA1_CFC64_OH0,0317_1342,B,-0.0439775250852108,-0.009169787168502808,0.0,0.0,-1.9391969696749525e-08,2.693270356109095e-11,-0.0024624881076065774,28.470871628447327
1773751341.36245,1773751341362456970,Sr02_gB_IMG1_LID1_STA1_CFC64_OH0,0317_1342,B,0.024018488824367523,0.002988759893923998,0.0,0.0,-2.265168636482443e-08,3.5558287015683924e-11,-0.002829739930819889,28.47087162745013
1773751341.484629,1773751341484637291,Sr02_gB_IMG1_LID1_STA1_CFC64_OH0,0317_1342,B,-0.15398553013801575,-0.02152593620121479,0.0,0.0,-2.738203379316672e-08,5.020522532004697e-11,-0.00337817500396662,28.47087162600101
