loss,mae,val_loss,val_mae,lr
0.028003180399537086,0.09446471929550171,0.01829647459089756,0.07296638935804367,0.001
0.014852744527161121,0.06767234206199646,0.011866452172398567,0.06110674887895584,0.001
0.011202593334019184,0.0582217276096344,0.010320376604795456,0.05443551763892174,0.001
0.009707563556730747,0.05494627356529236,0.00862970668822527,0.049368541687726974,0.001
0.00852145254611969,0.05073967203497887,0.007897894829511642,0.04770028591156006,0.001
0.007458703592419624,0.04657704755663872,0.007354330737143755,0.04716230556368828,0.001
0.006769368890672922,0.04391194507479668,0.00712047191336751,0.04451150819659233,0.001
0.006256789434701204,0.041778434067964554,0.005970800761133432,0.039168719202280045,0.001
0.0057526142336428165,0.03964703157544136,0.005843627266585827,0.03770417347550392,0.001
0.005352598614990711,0.037905365228652954,0.00532430037856102,0.03658771887421608,0.001
0.005254119634628296,0.03712768852710724,0.005103257019072771,0.03659750148653984,0.001
0.004656040109694004,0.033703677356243134,0.004557201638817787,0.03212231770157814,0.001
0.004486238118261099,0.03273399919271469,0.004648175556212664,0.032178401947021484,0.001
0.004337770864367485,0.03180008754134178,0.004523894749581814,0.030948109924793243,0.001
0.004045518115162849,0.03014371730387211,0.004257326480001211,0.0320553258061409,0.001
0.004033190663903952,0.030023280531167984,0.004185231868177652,0.029024247080087662,0.001
0.00382428546436131,0.028543973341584206,0.0038694743998348713,0.027721842750906944,0.001
0.0036729907151311636,0.027494248002767563,0.003731005359441042,0.02713635377585888,0.001
0.0035178717225790024,0.026438573375344276,0.0036483665462583303,0.026051703840494156,0.001
0.0033263948280364275,0.0253960732370615,0.0038948720321059227,0.02766890451312065,0.001
0.0034058012533932924,0.025783229619264603,0.003496459685266018,0.02483837679028511,0.001
0.003438707208260894,0.025942862033843994,0.003640230279415846,0.02610371820628643,0.001
0.0032330919057130814,0.025034138932824135,0.0036274685990065336,0.02702498808503151,0.001
0.0026624640449881554,0.021255450323224068,0.0029337997548282146,0.02292952872812748,0.0005
0.0024407864548265934,0.019789034500718117,0.0028593980241566896,0.021013768389821053,0.0005
0.0023272517137229443,0.01894870586693287,0.0026041788514703512,0.019722824916243553,0.0005
0.002439672127366066,0.01982065849006176,0.002608968410640955,0.020917924121022224,0.0005
0.002409650245681405,0.019219109788537025,0.002705519087612629,0.020512772724032402,0.0005
0.0020794288720935583,0.016595087945461273,0.0023139433469623327,0.01627102680504322,0.00025
0.0020222971215844154,0.016017623245716095,0.002267916454002261,0.01693025417625904,0.00025
0.0020023637916892767,0.015997566282749176,0.002280927263200283,0.016415417194366455,0.00025
0.0018858949188143015,0.014662391506135464,0.0021978721488267183,0.01611618511378765,0.000125
0.0018781250109896064,0.014614975079894066,0.002229077275842428,0.01570499874651432,0.000125
0.0018907500198110938,0.014852744527161121,0.0022225668653845787,0.015669845044612885,0.000125
0.0018537919968366623,0.014428846538066864,0.0021902131848037243,0.01565629243850708,0.000125
0.0018158541060984135,0.014006049372255802,0.0021300974767655134,0.015164382755756378,6.25e-05
0.0018127731746062636,0.014061396941542625,0.0021851102355867624,0.015143195167183876,6.25e-05
0.0018175694858655334,0.014082311652600765,0.002169877989217639,0.015043673105537891,6.25e-05
0.0018005771562457085,0.013895831070840359,0.002182958647608757,0.01506543718278408,6.25e-05
0.0018005491001531482,0.01393602043390274,0.00213443860411644,0.01492174994200468,6.25e-05
0.0017972897039726377,0.013949035666882992,0.002108967863023281,0.015038392506539822,6.25e-05
0.0017853501485660672,0.013815454207360744,0.002178025199100375,0.01503841020166874,6.25e-05
0.0017583149019628763,0.013495981693267822,0.0021159087773412466,0.01466248370707035,3.125e-05
0.0017469817539677024,0.013502073474228382,0.0021276003681123257,0.014565358869731426,3.125e-05
0.0017413584282621741,0.013352763839066029,0.0021118056029081345,0.01479528471827507,3.125e-05
0.0017302921041846275,0.013314316980540752,0.0020838812924921513,0.014565015211701393,1.5625e-05
0.00172823341563344,0.01327713206410408,0.0020998402033001184,0.014337160624563694,1.5625e-05
0.0017242899630218744,0.01330249011516571,0.0021000441629439592,0.014323891140520573,1.5625e-05
0.0017225627088919282,0.013280954211950302,0.002094903262332082,0.014692159369587898,1.5625e-05
0.0017092261696234345,0.013186021707952023,0.002087349072098732,0.014452693052589893,7.8125e-06
